Appearance,Aroma,Description,Flavor,Flowering Time,Grow,Grow Medium,Lineage,Name,Origin,Qualities,Story,Strain Type
"Broad, spade-shaped woodland green calyxes in open, tight clusters, with desert gold to heath red pistils, and above average coverage with very long, thin stalked trichomes with small heads","We were definitely ""wowed"" by the aroma that this Colorado-born cross possessed, as it was extremely pungent and reminded us of some of the best coffee-chocolate Bubbas we've had. There were notes of smokey bourbon, anise, and a backing sharp chemmy quality that came out post-grind, making this one of the most complex aromas we've encountered in some time. If you're a fan of the dank, spicy smells of Bubba Kush, this strain will likely surpass most examples of pure Bubba in your mind's eye, as it has in ours.","For lovers of Bubba Kush, this strain is a must-try, especially for the aroma and taste package, which is potent and reminds us of the best examples of that strain we've ever had. The effect is a little more uplifting and active than Bubba traditionally is, but this 303 still had quality body relaxation properties that made the incredible mood it put us in even more enjoyable.","While it was nearly impossible to live up to the aroma, the taste did come close to matching it, though it lost some of the added post-grind complexity and was mostly Bubba in profile. One of the great things about Bubba Kush is the ""greasy"" flavor which seems to coat the mouth and sinuses — this sample was no exception there, and we could taste it lingering for at least a half hour into the review. The smoke had an interesting thin, mentholated quality to it and really didn't give us the urge to cough at all, even on the later hits.",NaN,Clone,NaN,Pre-'98 Bubba Kush x Reservoir ChemDawg IC3,303 Kush,Colorado,"One word kept coming up during our reviews of this strain, and that was ""fun"" — this one just really improved our moods almost immediately, making us feel social, extroverted, and creative. It definitely felt Sativa in profile to start, increasing energy and bordering on racy at times (never anxious though), with a heavily buzzing body and pressurized face/eyes. The happy mood and relaxed body which made up the majority of the experience post-30 minutes wasn't conducive to working simply because we wanted to enjoy life more than concentrate on anything. This strain was great for some mind-wandering and following your fancy, so to speak. After the main potency passed around 1.5 hours into the experience, we felt more able to actually relax and concentrate if needed, and the body relaxation feelings increased.","Selected by Colorado's Hill Billy (and named for the common telephone area code, 303), originally bred by Zombo.",Indica-dominant hybrid
NaN,"Pungent mix of lemon, garlic, and body odor funk when ground","Albert Walker is a legendary clone-only Afghani skunk variety, while Manic is also an old-school Afghani, though with a sugary sweet smell.  The combination of the two creates a hard-hitting yet very positive Indica hybrid that yields welland exudes a lemon-garlic aroma.","Spicy and citrusy, with a lingering aftertaste",60 days,"Clone-only, very rare","(info courtesy of Scott, founder of Stone Mountain Wellness) ""BIG yielder, hungry plant needs extra food.  Bright orange hair and lemony garlic smell and flavor.  Great herb for hiking.  Happy good time all around. 60 days of flower.""",Albert Walker x Manic,"32 (""Three-Two"")",Afghanistan,"Though it's a strongly Indica-dominant strain, it seems to shift its effects depending upon mood and situation.  If it's midday and you're immersed in a physical activity, it'll have you feeling relaxed, happy, and capable — if you're medicating before bed, it'll ease you into restful sleep.  Potent effects package all-around; good body relaxation, sleep aid, relief from minor pain, and ocular attention.","This strain was named ""32? (pronounced ""Three-Two"") because that was the number of the ""keeper"" female.",Indica-dominant hybrid
NaN,NaN,Sour D x OG Kush x Master Kush,NaN,NaN,NaN,NaN,Sour D x OG Kush x Master Kush,707 Headband,Northern California,NaN,NaN,Sativa Dominant
"Claw-shaped fern green sepals in open, loose calyxes, with driftwood brown pisitls, and above average coverage with short, thin stalked trichomes with large heads","he staff's consensus favorite part of this sample, the aroma was a very classic-smelling mix of musky, skunky, garlicy, vegetal, and lightly fruity/sweet all at once. The lightly sweet and fruity Afghani musk it broadcasts in the jar is rather pungent, but it increases further when ground and takes on more of the garlic dimension as well, always with the Haze spice in the background.","This A.S.H. is an example of some classic genetic lines in perhaps the ""trinity"" of genetic lines, Afghani, Skunk, and Haze. The blend of these influences could be seen in all areas of the sample, from its structure, to its smell, to the effects. We all enjoyed this strain but saw potential for better medicinal-level duration and better flavor lurking within, namely due to what we see as a slightly early harvest and not-quite thorough enough flush. These flaws didn't do much to dampen the overall experience however, and the mix of uplifting and ground effects from the Afghani and Haze parts of this strain were an enjoyable tug-of-war that ultimately felt like a great hybrid. This is a good strain for those who appreciate the classic taste palate of Skunk and Afghani and desire a daytime mix of Sativa and Indica effects — we felt that the strongly cerebral and slightly rushy start would be a little much for inexperienced patients, especially those who suffer from anxiety or nausea issues.","Flavor-wise, this strain was again a mix between the almost putrid, lightly sweet, fruity Afghan and slightly sharper and spicy flavors. We didn't feel that the smell came through to the taste as cleanly as we would have liked, we think this is partly due to the Haze-style bud structure containing a decent amount of leaf cover, which brought added harshness and standard smoke flavor to the party. The thick smoke that results from this one was moderately expansive and did hit the lungs a bit hard, causing some coughing at times.",NaN,Seed,NaN,Afghani Skunk x Afghani Haze,A.S.H.,Netherlands,"We felt both parts of the lineage on this one pretty clearly, and it almost seemed to run the gambit of Sativa and Indica even between our review staff, with one member reporting heavily Sativa feelings, one somewhere in-between, and one leaning slightly towards the Indica side. The start was clearly Sativa and Hazy in nature, coming on rather strongly to start, but seemingly building over the first 30-45 minutes, filling our heads with pressure, our chests with a fluttery, light, borderline rushy feeling, and a slight loss of vestibular senses (felt like we were moving or spinning at times, especially with eyes closed). It definitely served to wake us up a bit with the potency, but it also cast a bit of a ""sensory blanket"" feeling over everything, and we just felt a little bit mentally slow despite the internal energy. Still, we were able to function in more creative and less detail-minded tasks, and the relaxation feelings increased as it rolled past 1.5 hours. The Afghani body effects seemed to come into play around the same time, serving to bring us back down after a rather 'up' beginning, but it never really made us drowsy or came with the crash we expected. A long, slow decline following the end of medicinal-level effects around 2 hours carried us out to about 3 total.",Bred by Mr. Nice Seedbank,Sativa Dominant Hybrid
NaN,Spicy Aroma with hints of lemon,NaN,NaN,NaN,NaN,NaN,OG Kush,Abusive's OG Kush,NaN,NaN,"Abusive's OG (later renamed ""L.A. Kush"") is a special OG Kush cut thought to be a ""selfed"" OG bagseed.  The original grower was nicknamed Abusive, and the cut kept his name.  It was discovered and gained popularity in the Los Angeles area in 2002-03, eventually being spread via the Devil's Harvest Krew to other locales around the country.It's a low-yielding OG with a distinct clamshell-like rounded calyx structure and copious trichome coverage.  The smell has elements of the typical lemon-lime pine cleaner OG, but carries more of a deep spicy quality than most OG cuts, lingering on the palate for some time after smoking.Abusive's OG is very potent and has a more direct mental impact than many of the more clear-headed OG cuts such as the Ghost and SFV.  A ""strong up, strong down"" type of effect, it hits hard immediately but evens out into an eminently relaxing state of a mixed mind-body nature.  The main medical benefits are mental and physical relaxation, mood elevation, appetite stimulation, and sleep aid on the comedown and in higher dosages.The pictures above are the verified Abusive's OG cut, grown by Scott of Rare Dankness.  The plants were photographed growing live just prior to harvest, and then shot again post-harvest in dried form.",Indica
"Not your typical ""Nebraska No-High"" hemp plant, the cured buds are tight formed but fluffy. Very little kush structure and much more akin to skunk variaties with sizeable colas.",AC/DC smells like lemongrass and cherries.,"In the garden, AC/DC is a bushy sativa and grows akin to Golden Goat and Sweet Sweet. Its leaves are so thin they feel like feathers when you brush against them. Though many CBD strains are reserved for concentrates for their overwhelming tendency to self-polinate, AC/DC is a proven 30:1 CBD strain that holds well as finished buds and is very stable.","Cherries and berries are evident in a thick, woody smoke.",NaN,Clone Only,NaN,Cannatonic Phenotype,ACDC,California medical grow collectives,"There are just traceable amounts of THC in AC/DC and is as close to a ""Pure CBD"" whole plant as you can get. CBD has been demonstrated as a treatment for epilepsy in children.","AC/DC is a CBD-rich phenotype of Cannatonic. It has been tested at 30:1 CBD, just above the threshold of industrial hemp. This cut has been circulating through California for several years, and in some ways Charlotte's Web, another ""pure CBD"" strain has somewhat stolen its thunder.",Sativa Dominant CBD
NaN,"Earthy, hashy and slightly sweet, sometimes with notes of Pinesol.","From the land of hash-making varieties of cannabis, this Afghan Kush is one of the most resinous varieties on Earth, known for producing incredible ""charas"" and Afghani black hashish.  The plant shows a very strong traditional indica structure with large, wide, dark green leaves and thick, blunt-topped nugs.","Much like the smell, it sometimes has sweet hash notes, similar to the fragrant charas that is produced from this strain.","Medium-Short, 47-55 days","Sensi Seeds is the most popular version, and it's sold as ""Afghan Kush."" There is also a version available as ""Afghani Kush"" from Next Generation Seeds.","Grows with special vigor when started from clone rather than seed — growers who start from seed will see a large growth spurt as the plant enters into flower, thanks to the hearty Afghan vigor present.  Grows well in all mediums and even in harsh outdoor conditions thanks to its rugged lineage.",Afghan Kush,Afghan Kush (Afkush),"Afghanistan, from the Hindu-Kush mountains",Moderate potency indica effects package that is heavy on the body relaxation and pain relief thanks to its resin content.,"Grown in the Hindu-Kush mountains of Afghanistan for centuries, this Afghani Kush subset of the indica family tree hearkens back to the purest of indicas.  Collected and made available in seed form primarily by Sensi Seeds in Amsterdam.  This variety was traditionally used in hashish production, but is also very valuable as flowers, with its large, resinous and gooey buds.Click hereto purchase your own Afghan seeds and start growing today!",Indica landrace variety
NaN,"Normally hashy and earthy, sometimes very musky and spicy, at times overwhelming carbon filters.","A very stout and hearty variety that originated in the rugged mountains of Afghanistan, these dark green Indica plants can survive almost anything.  Pest and mold-resistant, easy to grow, and compact.  Traditionally used in hash-making, Afghani varieties are  often extremely resinous and sticky.","Hashy and pretty unremarkable in most cases, sometimes the spicy notes or even light sweetness comes out.","Short, 45-55 days",Many different versions available,These hearty plants are suitable for any type of cultivation and thrive even in difficult and cold-weather climates… they also thrive in SCROG and other training setups.,Afghani,Afghani,Afghanistan/Pakistan mountains,"Sedating and pain-relieving, Afghani varieties are known for being narcotic at times and eminently relaxing.  Known for fairly high CBD content, they have great analgesic properties.","Originally brought into the United States and Holland in the 1970's, it's been used in many crosses to improve yield, mold/pest resistance, and add its Indica power and resin production.",Indica landrace variety
NaN,"Vegetal with hints of  skunk, citrus, and pine… the Afghani musk seems toned down by the Skunk parent.","A stout, resinous plant in the typical Afghan mold with a yield boost coming from the addition of the Skunk #1.  Mold and pest-resistant, it's a good choice for beginning growers.  It produces solid, heavy buds and is thus well-suited for commercial applications.","Hashy, earthy, yet slightly sweet","Medium, 55-60 days",Flying Dutchmen Seeds,"Easily grown in any medium, responds well to indoor or outdoor grows",Afghani x Skunk #1,Afghanica,Afghanistan/Pakistan,"Functional by the standards of many Indicas, this strain is sedative but also comes with some Sativa-leaning head effects such as eye pressure fluctuation and a mental drive/focus.  However, the relaxed and lazy-feeling body may not be inclined to go along with the energy, making this most suitable for a slow night at home rather than intensive tasks.","This strain is also known as ""Kabul Baba.""  A hybrid, it takes its yield, flavor, and potency primarily from the Skunk side of its lineage, while the Afghani contributes its stout, hearty structure, and its resin content.",Indica-dominant hybrid
NaN,Properly-grown Afgooey will have a deeply sweet and fruity aroma with a background of pine and hash — the most common fruit note picked up is cherry.,"Takes after the Afghani #1 mother in structure and resin while adding some Sativa potency and head effects thanks to the Maui Haze father.  This blend of two old-school genetics lines produces a sticky, potent plant that stays relatively short throughout its lifespan.","Mostly hashy and/or herby, it sometimes produces a nice berry sweetness (much like the smell, it's a bit unreliable and largely depends on growing skill/technique).","Medium, 55-60 days","Clone-only, from California originally","Grows well in either soil or hydro setups, good for space-sensitive grows as well.",Afghani #1 x Maui Haze,Afgooey,Afghanistan/United States,"With a relatively strong Indica effects package, Afgooey has the potential to be a ""daywrecker"", but at small-to-average doses, it's squarely in the functional Indica category thanks to the Haze influence.  Buzzy, slack extremities, a fuzzy mental state, and a definite couchlock tendency forms the core of the Afgooey experience.  It definitely lightens the mood in a goofy, slack-jawed kind of way, but is overall a ""down"" experience that is most conducive to seated activities not requiring a ton of attention.  Shows benefits with strong relaxation properties (both mental and physical), mood elevation, sleep aid properties (especially at high dosages), anti-anxiety, ocular relief, and mild pain relief.","Appearing first in the California medical scene, this strain has some serious old-school credentials… the original Afghani #1 is a cut grown in California since at least the 1980's that was composed of several landrace Afghani hash-making varieties.  As a result, this hybrid picks some Sativa vigor from the Maui Haze, but otherwise displays its Afghani roots — it's a sticky, trichome-laden plant that is known for gumming up a grinder or two.",Indica-dominant hybrid
