name,text
303 Kush,"For lovers of Bubba Kush, this strain is a must-try, especially for the aroma and taste package, which is potent and reminds us of the best examples of that strain we've ever had. The effect is a little more uplifting and active than Bubba traditionally is, but this 303 still had quality body relaxation properties that made the incredible mood it put us in even more enjoyable.Pre-'98 Bubba Kush x Reservoir ChemDawg IC3Selected by Colorado's Hill Billy (and named for the common telephone area code, 303), originally bred by Zombo.Broad, spade-shaped woodland green calyxes in open, tight clusters, with desert gold to heath red pistils, and above average coverage with very long, thin stalked trichomes with small headsWe were definitely ""wowed"" by the aroma that this Colorado-born cross possessed, as it was extremely pungent and reminded us of some of the best coffee-chocolate Bubbas we've had. There were notes of smokey bourbon, anise, and a backing sharp chemmy quality that came out post-grind, making this one of the most complex aromas we've encountered in some time. If you're a fan of the dank, spicy smells of Bubba Kush, this strain will likely surpass most examples of pure Bubba in your mind's eye, as it has in ours.While it was nearly impossible to live up to the aroma, the taste did come close to matching it, though it lost some of the added post-grind complexity and was mostly Bubba in profile. One of the great things about Bubba Kush is the ""greasy"" flavor which seems to coat the mouth and sinuses — this sample was no exception there, and we could taste it lingering for at least a half hour into the review. The smoke had an interesting thin, mentholated quality to it and really didn't give us the urge to cough at all, even on the later hits.One word kept coming up during our reviews of this strain, and that was ""fun"" — this one just really improved our moods almost immediately, making us feel social, extroverted, and creative. It definitely felt Sativa in profile to start, increasing energy and bordering on racy at times (never anxious though), with a heavily buzzing body and pressurized face/eyes. The happy mood and relaxed body which made up the majority of the experience post-30 minutes wasn't conducive to working simply because we wanted to enjoy life more than concentrate on anything. This strain was great for some mind-wandering and following your fancy, so to speak. After the main potency passed around 1.5 hours into the experience, we felt more able to actually relax and concentrate if needed, and the body relaxation feelings increased.ColoradoClone"
"32 (""Three-Two"")","Albert Walker is a legendary clone-only Afghani skunk variety, while Manic is also an old-school Afghani, though with a sugary sweet smell.  The combination of the two creates a hard-hitting yet very positive Indica hybrid that yields welland exudes a lemon-garlic aroma.Albert Walker x ManicThis strain was named ""32? (pronounced ""Three-Two"") because that was the number of the ""keeper"" female.Pungent mix of lemon, garlic, and body odor funk when ground Spicy and citrusy, with a lingering aftertaste Though it's a strongly Indica-dominant strain, it seems to shift its effects depending upon mood and situation.  If it's midday and you're immersed in a physical activity, it'll have you feeling relaxed, happy, and capable — if you're medicating before bed, it'll ease you into restful sleep.  Potent effects package all-around; good body relaxation, sleep aid, relief from minor pain, and ocular attention. (info courtesy of Scott, founder of Stone Mountain Wellness) ""BIG yielder, hungry plant needs extra food.  Bright orange hair and lemony garlic smell and flavor.  Great herb for hiking.  Happy good time all around. 60 days of flower.""AfghanistanClone-only, very rare60 days"
707 Headband,Sour D x OG Kush x Master KushSour D x OG Kush x Master KushNorthern California
A.S.H.,"This A.S.H. is an example of some classic genetic lines in perhaps the ""trinity"" of genetic lines, Afghani, Skunk, and Haze. The blend of these influences could be seen in all areas of the sample, from its structure, to its smell, to the effects. We all enjoyed this strain but saw potential for better medicinal-level duration and better flavor lurking within, namely due to what we see as a slightly early harvest and not-quite thorough enough flush. These flaws didn't do much to dampen the overall experience however, and the mix of uplifting and ground effects from the Afghani and Haze parts of this strain were an enjoyable tug-of-war that ultimately felt like a great hybrid. This is a good strain for those who appreciate the classic taste palate of Skunk and Afghani and desire a daytime mix of Sativa and Indica effects — we felt that the strongly cerebral and slightly rushy start would be a little much for inexperienced patients, especially those who suffer from anxiety or nausea issues.Bred by Mr. Nice SeedbankClaw-shaped fern green sepals in open, loose calyxes, with driftwood brown pisitls, and above average coverage with short, thin stalked trichomes with large headshe staff's consensus favorite part of this sample, the aroma was a very classic-smelling mix of musky, skunky, garlicy, vegetal, and lightly fruity/sweet all at once. The lightly sweet and fruity Afghani musk it broadcasts in the jar is rather pungent, but it increases further when ground and takes on more of the garlic dimension as well, always with the Haze spice in the background.Flavor-wise, this strain was again a mix between the almost putrid, lightly sweet, fruity Afghan and slightly sharper and spicy flavors. We didn't feel that the smell came through to the taste as cleanly as we would have liked, we think this is partly due to the Haze-style bud structure containing a decent amount of leaf cover, which brought added harshness and standard smoke flavor to the party. The thick smoke that results from this one was moderately expansive and did hit the lungs a bit hard, causing some coughing at times. We felt both parts of the lineage on this one pretty clearly, and it almost seemed to run the gambit of Sativa and Indica even between our review staff, with one member reporting heavily Sativa feelings, one somewhere in-between, and one leaning slightly towards the Indica side. The start was clearly Sativa and Hazy in nature, coming on rather strongly to start, but seemingly building over the first 30-45 minutes, filling our heads with pressure, our chests with a fluttery, light, borderline rushy feeling, and a slight loss of vestibular senses (felt like we were moving or spinning at times, especially with eyes closed). It definitely served to wake us up a bit with the potency, but it also cast a bit of a ""sensory blanket"" feeling over everything, and we just felt a little bit mentally slow despite the internal energy. Still, we were able to function in more creative and less detail-minded tasks, and the relaxation feelings increased as it rolled past 1.5 hours. The Afghani body effects seemed to come into play around the same time, serving to bring us back down after a rather 'up' beginning, but it never really made us drowsy or came with the crash we expected. A long, slow decline following the end of medicinal-level effects around 2 hours carried us out to about 3 total.NetherlandsSeed"
303 Kush,"For lovers of Bubba Kush, this strain is a must-try, especially for the aroma and taste package, which is potent and reminds us of the best examples of that strain we've ever had. The effect is a little more uplifting and active than Bubba traditionally is, but this 303 still had quality body relaxation properties that made the incredible mood it put us in even more enjoyable.Pre-'98 Bubba Kush x Reservoir ChemDawg IC3Selected by Colorado's Hill Billy (and named for the common telephone area code, 303), originally bred by Zombo.Broad, spade-shaped woodland green calyxes in open, tight clusters, with desert gold to heath red pistils, and above average coverage with very long, thin stalked trichomes with small headsWe were definitely ""wowed"" by the aroma that this Colorado-born cross possessed, as it was extremely pungent and reminded us of some of the best coffee-chocolate Bubbas we've had. There were notes of smokey bourbon, anise, and a backing sharp chemmy quality that came out post-grind, making this one of the most complex aromas we've encountered in some time. If you're a fan of the dank, spicy smells of Bubba Kush, this strain will likely surpass most examples of pure Bubba in your mind's eye, as it has in ours.While it was nearly impossible to live up to the aroma, the taste did come close to matching it, though it lost some of the added post-grind complexity and was mostly Bubba in profile. One of the great things about Bubba Kush is the ""greasy"" flavor which seems to coat the mouth and sinuses — this sample was no exception there, and we could taste it lingering for at least a half hour into the review. The smoke had an interesting thin, mentholated quality to it and really didn't give us the urge to cough at all, even on the later hits.One word kept coming up during our reviews of this strain, and that was ""fun"" — this one just really improved our moods almost immediately, making us feel social, extroverted, and creative. It definitely felt Sativa in profile to start, increasing energy and bordering on racy at times (never anxious though), with a heavily buzzing body and pressurized face/eyes. The happy mood and relaxed body which made up the majority of the experience post-30 minutes wasn't conducive to working simply because we wanted to enjoy life more than concentrate on anything. This strain was great for some mind-wandering and following your fancy, so to speak. After the main potency passed around 1.5 hours into the experience, we felt more able to actually relax and concentrate if needed, and the body relaxation feelings increased.ColoradoClone"
"32 (""Three-Two"")","Albert Walker is a legendary clone-only Afghani skunk variety, while Manic is also an old-school Afghani, though with a sugary sweet smell.  The combination of the two creates a hard-hitting yet very positive Indica hybrid that yields welland exudes a lemon-garlic aroma.Albert Walker x ManicThis strain was named ""32? (pronounced ""Three-Two"") because that was the number of the ""keeper"" female.Pungent mix of lemon, garlic, and body odor funk when ground Spicy and citrusy, with a lingering aftertaste Though it's a strongly Indica-dominant strain, it seems to shift its effects depending upon mood and situation.  If it's midday and you're immersed in a physical activity, it'll have you feeling relaxed, happy, and capable — if you're medicating before bed, it'll ease you into restful sleep.  Potent effects package all-around; good body relaxation, sleep aid, relief from minor pain, and ocular attention. (info courtesy of Scott, founder of Stone Mountain Wellness) ""BIG yielder, hungry plant needs extra food.  Bright orange hair and lemony garlic smell and flavor.  Great herb for hiking.  Happy good time all around. 60 days of flower.""AfghanistanClone-only, very rare60 days"
707 Headband,Sour D x OG Kush x Master KushSour D x OG Kush x Master KushNorthern California
A.S.H.,"This A.S.H. is an example of some classic genetic lines in perhaps the ""trinity"" of genetic lines, Afghani, Skunk, and Haze. The blend of these influences could be seen in all areas of the sample, from its structure, to its smell, to the effects. We all enjoyed this strain but saw potential for better medicinal-level duration and better flavor lurking within, namely due to what we see as a slightly early harvest and not-quite thorough enough flush. These flaws didn't do much to dampen the overall experience however, and the mix of uplifting and ground effects from the Afghani and Haze parts of this strain were an enjoyable tug-of-war that ultimately felt like a great hybrid. This is a good strain for those who appreciate the classic taste palate of Skunk and Afghani and desire a daytime mix of Sativa and Indica effects — we felt that the strongly cerebral and slightly rushy start would be a little much for inexperienced patients, especially those who suffer from anxiety or nausea issues.Bred by Mr. Nice SeedbankClaw-shaped fern green sepals in open, loose calyxes, with driftwood brown pisitls, and above average coverage with short, thin stalked trichomes with large headshe staff's consensus favorite part of this sample, the aroma was a very classic-smelling mix of musky, skunky, garlicy, vegetal, and lightly fruity/sweet all at once. The lightly sweet and fruity Afghani musk it broadcasts in the jar is rather pungent, but it increases further when ground and takes on more of the garlic dimension as well, always with the Haze spice in the background.Flavor-wise, this strain was again a mix between the almost putrid, lightly sweet, fruity Afghan and slightly sharper and spicy flavors. We didn't feel that the smell came through to the taste as cleanly as we would have liked, we think this is partly due to the Haze-style bud structure containing a decent amount of leaf cover, which brought added harshness and standard smoke flavor to the party. The thick smoke that results from this one was moderately expansive and did hit the lungs a bit hard, causing some coughing at times. We felt both parts of the lineage on this one pretty clearly, and it almost seemed to run the gambit of Sativa and Indica even between our review staff, with one member reporting heavily Sativa feelings, one somewhere in-between, and one leaning slightly towards the Indica side. The start was clearly Sativa and Hazy in nature, coming on rather strongly to start, but seemingly building over the first 30-45 minutes, filling our heads with pressure, our chests with a fluttery, light, borderline rushy feeling, and a slight loss of vestibular senses (felt like we were moving or spinning at times, especially with eyes closed). It definitely served to wake us up a bit with the potency, but it also cast a bit of a ""sensory blanket"" feeling over everything, and we just felt a little bit mentally slow despite the internal energy. Still, we were able to function in more creative and less detail-minded tasks, and the relaxation feelings increased as it rolled past 1.5 hours. The Afghani body effects seemed to come into play around the same time, serving to bring us back down after a rather 'up' beginning, but it never really made us drowsy or came with the crash we expected. A long, slow decline following the end of medicinal-level effects around 2 hours carried us out to about 3 total.NetherlandsSeed"
303 Kush,"For lovers of Bubba Kush, this strain is a must-try, especially for the aroma and taste package, which is potent and reminds us of the best examples of that strain we've ever had. The effect is a little more uplifting and active than Bubba traditionally is, but this 303 still had quality body relaxation properties that made the incredible mood it put us in even more enjoyable.Pre-'98 Bubba Kush x Reservoir ChemDawg IC3Selected by Colorado's Hill Billy (and named for the common telephone area code, 303), originally bred by Zombo.Broad, spade-shaped woodland green calyxes in open, tight clusters, with desert gold to heath red pistils, and above average coverage with very long, thin stalked trichomes with small headsWe were definitely ""wowed"" by the aroma that this Colorado-born cross possessed, as it was extremely pungent and reminded us of some of the best coffee-chocolate Bubbas we've had. There were notes of smokey bourbon, anise, and a backing sharp chemmy quality that came out post-grind, making this one of the most complex aromas we've encountered in some time. If you're a fan of the dank, spicy smells of Bubba Kush, this strain will likely surpass most examples of pure Bubba in your mind's eye, as it has in ours.While it was nearly impossible to live up to the aroma, the taste did come close to matching it, though it lost some of the added post-grind complexity and was mostly Bubba in profile. One of the great things about Bubba Kush is the ""greasy"" flavor which seems to coat the mouth and sinuses — this sample was no exception there, and we could taste it lingering for at least a half hour into the review. The smoke had an interesting thin, mentholated quality to it and really didn't give us the urge to cough at all, even on the later hits.One word kept coming up during our reviews of this strain, and that was ""fun"" — this one just really improved our moods almost immediately, making us feel social, extroverted, and creative. It definitely felt Sativa in profile to start, increasing energy and bordering on racy at times (never anxious though), with a heavily buzzing body and pressurized face/eyes. The happy mood and relaxed body which made up the majority of the experience post-30 minutes wasn't conducive to working simply because we wanted to enjoy life more than concentrate on anything. This strain was great for some mind-wandering and following your fancy, so to speak. After the main potency passed around 1.5 hours into the experience, we felt more able to actually relax and concentrate if needed, and the body relaxation feelings increased.ColoradoClone"
"32 (""Three-Two"")","Albert Walker is a legendary clone-only Afghani skunk variety, while Manic is also an old-school Afghani, though with a sugary sweet smell.  The combination of the two creates a hard-hitting yet very positive Indica hybrid that yields welland exudes a lemon-garlic aroma.Albert Walker x ManicThis strain was named ""32? (pronounced ""Three-Two"") because that was the number of the ""keeper"" female.Pungent mix of lemon, garlic, and body odor funk when ground Spicy and citrusy, with a lingering aftertaste Though it's a strongly Indica-dominant strain, it seems to shift its effects depending upon mood and situation.  If it's midday and you're immersed in a physical activity, it'll have you feeling relaxed, happy, and capable — if you're medicating before bed, it'll ease you into restful sleep.  Potent effects package all-around; good body relaxation, sleep aid, relief from minor pain, and ocular attention. (info courtesy of Scott, founder of Stone Mountain Wellness) ""BIG yielder, hungry plant needs extra food.  Bright orange hair and lemony garlic smell and flavor.  Great herb for hiking.  Happy good time all around. 60 days of flower.""AfghanistanClone-only, very rare60 days"
